ID_PROJETO,ID_PESSOA,NM_PROJETO,DS_TIPO_MEMBRO
189547,2134053,PROTOMIRAX,DISCENTE
189547,1320513,PROTOMIRAX,PARTICIPANTE EXTERNO
189547,1056303,PROTOMIRAX,PARTICIPANTE EXTERNO
189547,954412,PROTOMIRAX,DOCENTE
189547,525315,PROTOMIRAX,DOCENTE
189560,529970,ABUNDÂNCIA DE ELEMENTOS VOLÁTEIS E REFRATÁRIOS EM ESTRELAS G E K DA VIZINHANÇA SOLAR COM E SEM PLANETAS,PARTICIPANTE EXTERNO
189560,1043053,ABUNDÂNCIA DE ELEMENTOS VOLÁTEIS E REFRATÁRIOS EM ESTRELAS G E K DA VIZINHANÇA SOLAR COM E SEM PLANETAS,PARTICIPANTE EXTERNO
189560,880364,ABUNDÂNCIA DE ELEMENTOS VOLÁTEIS E REFRATÁRIOS EM ESTRELAS G E K DA VIZINHANÇA SOLAR COM E SEM PLANETAS,DISCENTE
189560,930780,ABUNDÂNCIA DE ELEMENTOS VOLÁTEIS E REFRATÁRIOS EM ESTRELAS G E K DA VIZINHANÇA SOLAR COM E SEM PLANETAS,DOCENTE
189577,3391778,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,PARTICIPANTE EXTERNO
189577,526011,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,PARTICIPANTE EXTERNO
189577,1172361,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,PARTICIPANTE EXTERNO
189577,14064,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,PARTICIPANTE EXTERNO
189577,147490,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,PARTICIPANTE EXTERNO
189577,291746,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,PARTICIPANTE EXTERNO
189577,269784,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,PARTICIPANTE EXTERNO
189577,342162,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,PARTICIPANTE EXTERNO
189577,324914,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,PARTICIPANTE EXTERNO
189577,12460,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,PARTICIPANTE EXTERNO
189577,1307677,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,PARTICIPANTE EXTERNO
189577,515531,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,PARTICIPANTE EXTERNO
189577,264464,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,PARTICIPANTE EXTERNO
189577,974576,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,PARTICIPANTE EXTERNO
189577,538111,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,PARTICIPANTE EXTERNO
189577,243038,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,PARTICIPANTE EXTERNO
189577,1411408,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,PÓS-DOC
189577,442024,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,DOCENTE
189577,521323,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,DOCENTE
189577,22350,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,DOCENTE
189559,1426074,APRIMORAMENTO E ANÁLISE DA BASE ESPECTRAL MILES PARA A MODELAGEM SEMIEMPÍRICA DE POPULAÇÕES ESTELARES,PARTICIPANTE EXTERNO
189559,1528700,APRIMORAMENTO E ANÁLISE DA BASE ESPECTRAL MILES PARA A MODELAGEM SEMIEMPÍRICA DE POPULAÇÕES ESTELARES,PARTICIPANTE EXTERNO
189559,2129035,APRIMORAMENTO E ANÁLISE DA BASE ESPECTRAL MILES PARA A MODELAGEM SEMIEMPÍRICA DE POPULAÇÕES ESTELARES,PARTICIPANTE EXTERNO
189559,2129028,APRIMORAMENTO E ANÁLISE DA BASE ESPECTRAL MILES PARA A MODELAGEM SEMIEMPÍRICA DE POPULAÇÕES ESTELARES,PARTICIPANTE EXTERNO
189559,2128667,APRIMORAMENTO E ANÁLISE DA BASE ESPECTRAL MILES PARA A MODELAGEM SEMIEMPÍRICA DE POPULAÇÕES ESTELARES,PARTICIPANTE EXTERNO
189559,930780,APRIMORAMENTO E ANÁLISE DA BASE ESPECTRAL MILES PARA A MODELAGEM SEMIEMPÍRICA DE POPULAÇÕES ESTELARES,DOCENTE
373574,473536,SÍNTESE DE POPULAÇÃO ESTELAR EM GALÁXIAS NO INFRAVERMELHO-PRÓXIMO: BASE DE AGLOMERADOS ESTELARES E COMPARAÇÃO COM MODELOS EVOLUTIVOS,PARTICIPANTE EXTERNO
373574,471223,SÍNTESE DE POPULAÇÃO ESTELAR EM GALÁXIAS NO INFRAVERMELHO-PRÓXIMO: BASE DE AGLOMERADOS ESTELARES E COMPARAÇÃO COM MODELOS EVOLUTIVOS,PARTICIPANTE EXTERNO
373574,537444,SÍNTESE DE POPULAÇÃO ESTELAR EM GALÁXIAS NO INFRAVERMELHO-PRÓXIMO: BASE DE AGLOMERADOS ESTELARES E COMPARAÇÃO COM MODELOS EVOLUTIVOS,DOCENTE
189563,525564,SPARC4 - SIMULTANEOUS POLARIMETER AND RAPID CAMERA IN 4 BANDS,DOCENTE
189563,539215,SPARC4 - SIMULTANEOUS POLARIMETER AND RAPID CAMERA IN 4 BANDS,DOCENTE
189563,536830,SPARC4 - SIMULTANEOUS POLARIMETER AND RAPID CAMERA IN 4 BANDS,DOCENTE
189563,1065248,SPARC4 - SIMULTANEOUS POLARIMETER AND RAPID CAMERA IN 4 BANDS,PARTICIPANTE EXTERNO
189563,11813,SPARC4 - SIMULTANEOUS POLARIMETER AND RAPID CAMERA IN 4 BANDS,PARTICIPANTE EXTERNO
189563,318692,SPARC4 - SIMULTANEOUS POLARIMETER AND RAPID CAMERA IN 4 BANDS,PARTICIPANTE EXTERNO
189563,1321256,SPARC4 - SIMULTANEOUS POLARIMETER AND RAPID CAMERA IN 4 BANDS,PARTICIPANTE EXTERNO
189563,930780,SPARC4 - SIMULTANEOUS POLARIMETER AND RAPID CAMERA IN 4 BANDS,DOCENTE
189579,2432051,COLABORAÇÃO CIENTÍFICA COM O LIGO (LASER INTERFEROMETER GRAVITATIONAL OBSERVATORY),DISCENTE
189579,1491061,COLABORAÇÃO CIENTÍFICA COM O LIGO (LASER INTERFEROMETER GRAVITATIONAL OBSERVATORY),PARTICIPANTE EXTERNO
189579,442024,COLABORAÇÃO CIENTÍFICA COM O LIGO (LASER INTERFEROMETER GRAVITATIONAL OBSERVATORY),DOCENTE
189579,22350,COLABORAÇÃO CIENTÍFICA COM O LIGO (LASER INTERFEROMETER GRAVITATIONAL OBSERVATORY),DOCENTE
530956,402994,COSMOLOGIA DE 21 CM COM O RÁDIO TELESCÓPIO BINGO,PARTICIPANTE EXTERNO
530956,14827,COSMOLOGIA DE 21 CM COM O RÁDIO TELESCÓPIO BINGO,PARTICIPANTE EXTERNO
530956,639425,COSMOLOGIA DE 21 CM COM O RÁDIO TELESCÓPIO BINGO,DISCENTE
530956,20599,COSMOLOGIA DE 21 CM COM O RÁDIO TELESCÓPIO BINGO,PARTICIPANTE EXTERNO
530956,3055224,COSMOLOGIA DE 21 CM COM O RÁDIO TELESCÓPIO BINGO,DISCENTE
530956,199074,COSMOLOGIA DE 21 CM COM O RÁDIO TELESCÓPIO BINGO,PÓS-DOC
530956,6594,COSMOLOGIA DE 21 CM COM O RÁDIO TELESCÓPIO BINGO,DOCENTE
530956,292789,COSMOLOGIA DE 21 CM COM O RÁDIO TELESCÓPIO BINGO,PÓS-DOC
530956,1411408,COSMOLOGIA DE 21 CM COM O RÁDIO TELESCÓPIO BINGO,PÓS-DOC
189548,402994,COSMOLOGIA E RADIAÇÃO CÓSMICA DE FUNDO,PARTICIPANTE EXTERNO
189548,14827,COSMOLOGIA E RADIAÇÃO CÓSMICA DE FUNDO,PARTICIPANTE EXTERNO
