AN_BASE,NM_PROGRAMA_IES,AN_INICIO_PROGRAMA,SG_ENTIDADE_ENSINO,NM_AREA_AVALIACAO,NM_MODALIDADE_PROGRAMA,NM_AREA_CONCENTRACAO,ID_PROJETO,NM_PROJETO,NM_NATUREZA_PROJETO,DH_INICIO,DT_SITUACAO_ATUAL,IN_BOLSA,IN_OUTRO_AUXILIO,IN_RESPONSAVEL_PROJETO,ID_PESSOA,DS_TIPO_MEMBRO,NM_PAIS_NACIONALIDADE_MEMBRO
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189547,PROTOMIRAX,PESQUISA,01/01/2009,01/01/2009,SIM,NÃO,0,2134053,DISCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189547,PROTOMIRAX,PESQUISA,01/01/2009,01/01/2009,SIM,NÃO,0,1320513,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189547,PROTOMIRAX,PESQUISA,01/01/2009,01/01/2009,SIM,NÃO,0,1056303,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189547,PROTOMIRAX,PESQUISA,01/01/2009,01/01/2009,SIM,NÃO,0,954412,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189547,PROTOMIRAX,PESQUISA,01/01/2009,01/01/2009,SIM,NÃO,1,525315,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189560,ABUNDÂNCIA DE ELEMENTOS VOLÁTEIS E REFRATÁRIOS EM ESTRELAS G E K DA VIZINHANÇA SOLAR COM E SEM PLANETAS,PROJETO INTERINSTITUCIONAL,01/01/2009,01/01/2009,SIM,NÃO,0,529970,PARTICIPANTE EXTERNO,PERU
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189560,ABUNDÂNCIA DE ELEMENTOS VOLÁTEIS E REFRATÁRIOS EM ESTRELAS G E K DA VIZINHANÇA SOLAR COM E SEM PLANETAS,PROJETO INTERINSTITUCIONAL,01/01/2009,01/01/2009,SIM,NÃO,0,1043053,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189560,ABUNDÂNCIA DE ELEMENTOS VOLÁTEIS E REFRATÁRIOS EM ESTRELAS G E K DA VIZINHANÇA SOLAR COM E SEM PLANETAS,PROJETO INTERINSTITUCIONAL,01/01/2009,01/01/2009,SIM,NÃO,0,880364,DISCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189560,ABUNDÂNCIA DE ELEMENTOS VOLÁTEIS E REFRATÁRIOS EM ESTRELAS G E K DA VIZINHANÇA SOLAR COM E SEM PLANETAS,PROJETO INTERINSTITUCIONAL,01/01/2009,01/01/2009,SIM,NÃO,1,930780,DOCENTE,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,3391778,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,526011,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,1172361,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,14064,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,147490,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,291746,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,269784,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,342162,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,324914,PARTICIPANTE EXTERNO,BRASIL
2020,ASTROFÍSICA,1994,INPE,ASTRONOMIA / FÍSICA,ACADÊMICO,ASTROFÍSICA,189577,ANTENA DE ONDAS GRAVITACIONAIS MARIO SCHENBERG,INOVAÇÃO,01/01/2003,01/01/2003,SIM,NÃO,0,12460,PARTICIPANTE EXTERNO,BRASIL
