"Código da Emenda";"Ano da Emenda";"Tipo de Emenda";"Código do Autor da Emenda";"Nome do Autor da Emenda";"Número da emenda";"Localidade do gasto";"Código Função";"Nome Função";"Código Subfunção";"Nome Subfunção";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos A Pagar Inscritos";"Valor Restos A Pagar Cancelados";"Valor Restos A Pagar Pagos"
"Sem informaç";"2014";"Emenda Individual - Transferências";"S/I";"Sem informação";"S/I";"RORAINÓPOLIS - RR";"05";"Defesa nacional";"244";"Assistência comunitária";"1614289,50";"0,00";"0,00";"0,00";"374378,50";"1239911,00"
"Sem informaç";"2014";"Emenda Individual - Transferências";"S/I";"Sem informação";"S/I";"Nordeste";"10";"Saúde";"301";"Atenção básica";"2031235,00";"0,00";"0,00";"44800,00";"102396,00";"1884039,00"
"Sem informaç";"2014";"Emenda Individual - Transferências";"S/I";"Sem informação";"S/I";"PARANÁ (UF)";"12";"Educação";"302";"Assistência hospitalar e ambulatorial";"295625,48";"12600,00";"12600,00";"0,00";"11230,32";"271795,16"
"Sem informaç";"2014";"Emenda Individual - Transferências";"S/I";"Sem informação";"S/I";"MIGUEL PEREIRA - RJ";"10";"Saúde";"302";"Assistência hospitalar e ambulatorial";"1789817,00";"0,00";"0,00";"0,00";"549997,00";"1239820,00"
"Sem informaç";"2014";"Emenda Individual - Transferências";"S/I";"Sem informação";"S/I";"ITABORAÍ - RJ";"10";"Saúde";"122";"Administração geral";"12769239,77";"0,00";"0,00";"0,00";"444437,02";"12324802,75"
"Sem informaç";"2014";"Emenda Individual - Transferências";"S/I";"Sem informação";"S/I";"SÃO GONÇALO - RJ";"15";"Urbanismo";"451";"infra-estrutura urbana";"993000,00";"0,00";"0,00";"0,00";"980677,00";"12323,00"
"Sem informaç";"2014";"Emenda Individual - Transferências";"S/I";"Sem informação";"S/I";"SÃO PAULO - SP";"10";"Saúde";"301";"Atenção básica";"1799380,00";"0,00";"0,00";"0,00";"1236800,00";"562580,00"
"Sem informaç";"2014";"Emenda Individual - Transferências";"S/I";"Sem informação";"S/I";"PIAUÍ (UF)";"10";"Saúde";"301";"Atenção básica";"32986638,97";"0,00";"0,00";"1135000,00";"912381,00";"30939257,97"
"Sem informaç";"2014";"Emenda Individual - Transferências";"S/I";"Sem informação";"S/I";"DISTRITO FEDERAL (UF)";"10";"Saúde";"301";"Atenção básica";"4273000,00";"0,00";"0,00";"1236800,00";"2181600,00";"854600,00"
"201526940005";"2015";"Emenda Individual - Transferências";"2694";"ALBERTO FILHO";"0005";"MIRANDA DO NORTE - MA";"10";"Saúde";"512";"Saneamento básico urbano";"3312388,00";"0,00";"0,00";"0,00";"624955,20";"2687432,80"
"201536800011";"2015";"Emenda Individual - Transferências";"3680";"ALEX CANZIANI";"0011";"PARANÁ (UF)";"20";"Agricultura";"608";"Promoção da produção agropecuária";"495850,00";"0,00";"0,00";"0,00";"12396,25";"483453,75"
"201528590017";"2015";"Emenda Individual - Transferências";"2859";"ALEXANDRE ROSO";"0017";"RIOZINHO - RS";"23";"Comércio e serviços";"695";"Turismo";"412387,00";"0,00";"0,00";"0,00";"8169,17";"404217,83"
"201527310001";"2015";"Emenda Individual - Transferências";"2731";"ALMEIDA LIMA";"0001";"SERGIPE (UF)";"15";"Urbanismo";"244";"Assistência comunitária";"3912387,00";"0,00";"0,00";"0,00";"3912387,00";"0,00"
"201529200001";"2015";"Emenda Individual - Transferências";"2920";"ANGELA PORTELA";"0001";"RORAIMA (UF)";"05";"Defesa nacional";"244";"Assistência comunitária";"3912387,00";"0,00";"0,00";"0,00";"1718820,00";"2193567,00"
"201529200004";"2015";"Emenda Individual - Transferências";"2920";"ANGELA PORTELA";"0004";"RORAIMA (UF)";"10";"Saúde";"302";"Assistência hospitalar e ambulatorial";"3912380,00";"0,00";"0,00";"0,00";"0,00";"3912380,00"
"201527390001";"2015";"Emenda Individual - Transferências";"2739";"ARTHUR OLIVEIRA MAIA";"0001";"BAHIA (UF)";"15";"Urbanismo";"244";"Assistência comunitária";"2262387,00";"41238,00";"41238,00";"0,00";"13117,42";"2208031,58"
"201526990007";"2015";"Emenda Individual - Transferências";"2699";"ARTUR BRUNO";"0007";"ACARAÚ - CE";"27";"Desporto e lazer";"812";"Desporto comunitário";"412387,00";"0,00";"0,00";"0,00";"402077,32";"10309,68"
"201529310006";"2015";"Emenda Individual - Transferências";"2931";"ATAIDES OLIVEIRA";"0006";"BARRETOS - SP";"10";"Saúde";"302";"Assistência hospitalar e ambulatorial";"123000,00";"0,00";"0,00";"0,00";"0,00";"123000,00"
"201527780005";"2015";"Emenda Individual - Transferências";"2778";"AUREO";"0005";"DUQUE DE CAXIAS - RJ";"10";"Saúde";"301";"Atenção básica";"2319000,00";"0,00";"0,00";"618400,00";"1236800,00";"463800,00"
"201526680003";"2015";"Emenda Individual - Transferências";"2668";"BERINHO BANTIM";"0003";"CAROEBE - RR";"05";"Defesa nacional";"244";"Assistência comunitária";"3912387,00";"0,00";"0,00";"0,00";"0,00";"3912387,00"
"201523400002";"2015";"Emenda Individual - Transferências";"2340";"BLAIRO MAGGI";"0002";"MATO GROSSO (UF)";"23";"Comércio e serviços";"695";"Turismo";"331238,00";"0,00";"0,00";"0,00";"0,00";"331238,00"
"201515270006";"2015";"Emenda Individual - Transferências";"1527";"CARLOS SAMPAIO";"0006";"SÃO PAULO (UF)";"10";"Saúde";"301";"Atenção básica";"1123999,00";"0,00";"0,00";"43284,00";"0,00";"1080715,00"
"201522530016";"2015";"Emenda Individual - Transferências";"2253";"CASILDO MALDANER";"0016";"SANTA CATARINA (UF)";"20";"Agricultura";"608";"Promoção da produção agropecuária";"412387,00";"0,00";"0,00";"0,00";"10309,67";"402077,33"
"201529460006";"2015";"Emenda Individual - Transferências";"2946";"CASSIO CUNHA LIMA";"0006";"GUARABIRA - PB";"23";"Comércio e serviços";"695";"Turismo";"1712388,00";"0,00";"0,00";"0,00";"0,00";"1712388,00"
"201528780012";"2015";"Emenda Individual - Transferências";"2878";"CIDA BORGHETTI";"0012";"PARANÁ (UF)";"15";"Urbanismo";"451";"infra-estrutura urbana";"2812387,00";"0,00";"0,00";"0,00";"295300,00";"2517087,00"
"201531660002";"2015";"Emenda Individual - Transferências";"3166";"CLAUDIO CAJADO";"0002";"BAHIA (UF)";"15";"Urbanismo";"451";"infra-estrutura urbana";"1238899,00";"0,00";"0,00";"0,00";"230168,70";"1008730,30"
"201524100001";"2015";"Emenda Individual - Transferências";"2410";"DALVA FIGUEIREDO";"0001";"MACAPÁ - AP";"05";"Defesa nacional";"244";"Assistência comunitária";"2412385,00";"0,00";"0,00";"0,00";"2412385,00";"0,00"
"201513390003";"2015";"Emenda Individual - Transferências";"1339";"DANIEL ALMEIDA";"0003";"BAHIA (UF)";"15";"Urbanismo";"244";"Assistência comunitária";"861503,00";"20123,84";"20123,84";"0,00";"202038,15";"639341,01"
"201531840004";"2015";"Emenda Individual - Transferências";"3184";"EDSON EZEQUIEL";"0004";"ITABORAÍ - RJ";"15";"Urbanismo";"451";"infra-estrutura urbana";"3912387,00";"0,00";"0,00";"0,00";"0,00";"3912387,00"
"201529090002";"2015";"Emenda Individual - Transferências";"2909";"EDUARDO BRAGA";"0002";"AMAZONAS (UF)";"05";"Defesa nacional";"244";"Assistência comunitária";"3912388,00";"0,00";"0,00";"0,00";"1800000,00";"2112388,00"
"201526250010";"2015";"Emenda Individual - Transferências";"2625";"ELEUSES PAIVA";"0010";"SÃO FRANCISCO - SP";"15";"Urbanismo";"451";"infra-estrutura urbana";"412300,00";"0,00";"0,00";"0,00";"749,13";"411550,87"
"201519070011";"2015";"Emenda Individual - Transferências";"1907";"FATIMA PELAES";"0011";"MACAPÁ - AP";"10";"Saúde";"122";"Administração geral";"912388,00";"0,00";"0,00";"0,00";"760323,33";"152064,67"
"201525030003";"2015";"Emenda Individual - Transferências";"2503";"FILIPE PEREIRA";"0003";"RIO DE JANEIRO (UF)";"14";"Direitos da cidadania";"422";"Direitos individuais, coletivos e difusos";"3912387,00";"0,00";"0,00";"0,00";"1137,00";"3911250,00"
"201514450004";"2015";"Emenda Individual - Transferências";"1445";"GERALDO RESENDE";"0004";"MATO GROSSO DO SUL (UF)";"08";"Assistência social";"244";"Assistência comunitária";"412300,00";"0,00";"0,00";"0,00";"0,00";"412300,00"
"201525900001";"2015";"Emenda Individual - Transferências";"2590";"GIM";"0001";"DISTRITO FEDERAL (UF)";"19";"Ciência e Tecnologia";"691";"Promoção comercial";"712387,00";"0,00";"0,00";"0,00";"0,00";"712387,00"
"201524010002";"2015";"Emenda Individual - Transferências";"2401";"GLADSON CAMELI";"0002";"ACRE (UF)";"05";"Defesa nacional";"244";"Assistência comunitária";"2912388,00";"0,00";"0,00";"0,00";"0,00";"2912388,00"
"201511930010";"2015";"Emenda Individual - Transferências";"1193";"HENRIQUE EDUARDO ALVES";"0010";"RIO GRANDE DO NORTE (UF)";"15";"Urbanismo";"451";"infra-estrutura urbana";"1812387,00";"0,00";"0,00";"0,00";"849820,74";"962566,26"
"201527060003";"2015";"Emenda Individual - Transferências";"2706";"HUGO NAPOLEAO";"0003";"PIAUÍ (UF)";"15";"Urbanismo";"244";"Assistência comunitária";"1912275,00";"95613,75";"95613,75";"0,00";"1123332,25";"693329,00"
"201523630003";"2015";"Emenda Individual - Transferências";"2363";"IZALCI";"0003";"DISTRITO FEDERAL (UF)";"10";"Saúde";"122";"Administração geral";"2912387,00";"0,00";"0,00";"0,00";"0,00";"2912387,00"
"201517730001";"2015";"Emenda Individual - Transferências";"1773";"JAIR BOLSONARO";"0001";"Nacional";"05";"Defesa nacional";"301";"Atenção básica";"912387,00";"0,00";"0,00";"0,00";"0,00";"912387,00"
"201522380001";"2015";"Emenda Individual - Transferências";"2238";"JAIRO ATAIDE";"0001";"TAIOBEIRAS - MG";"15";"Urbanismo";"451";"infra-estrutura urbana";"3912387,00";"0,00";"0,00";"0,00";"0,00";"3912387,00"
"201515810008";"2015";"Emenda Individual - Transferências";"1581";"JEFFERSON CAMPOS";"0008";"SÃO PAULO (UF)";"15";"Urbanismo";"451";"infra-estrutura urbana";"1912385,99";"0,00";"0,00";"0,00";"51791,92";"1860594,07"
"201532420001";"2015";"Emenda Individual - Transferências";"3242";"JOAO PIZZOLATTI";"0001";"SANTA CATARINA (UF)";"15";"Urbanismo";"451";"infra-estrutura urbana";"3912386,98";"0,00";"0,00";"0,00";"0,00";"3912386,98"
"201523780005";"2015";"Emenda Individual - Transferências";"2378";"JOAO VICENTE CLAUDINO";"0005";"TERESINA - PI";"11";"Trabalho";"334";"Fomento ao trabalho";"112300,00";"0,00";"0,00";"0,00";"112300,00";"0,00"
"201527210001";"2015";"Emenda Individual - Transferências";"2721";"JORGE CORTE REAL";"0001";"PERNAMBUCO (UF)";"10";"Saúde";"302";"Assistência hospitalar e ambulatorial";"912385,00";"0,00";"0,00";"0,00";"400000,00";"512385,00"
"201521230007";"2015";"Emenda Individual - Transferências";"2123";"JOSE AGRIPINO";"0007";"RIO GRANDE DO NORTE (UF)";"15";"Urbanismo";"451";"infra-estrutura urbana";"1072387,00";"0,00";"0,00";"0,00";"0,00";"1072387,00"
"201521230009";"2015";"Emenda Individual - Transferências";"2123";"JOSE AGRIPINO";"0009";"RIO GRANDE DO NORTE (UF)";"27";"Desporto e lazer";"812";"Desporto comunitário";"500000,00";"0,00";"0,00";"0,00";"0,00";"500000,00"
"201521230010";"2015";"Emenda Individual - Transferências";"2123";"JOSE AGRIPINO";"0010";"RIO GRANDE DO NORTE (UF)";"23";"Comércio e serviços";"695";"Turismo";"1250000,00";"0,00";"0,00";"48750,00";"0,00";"1201250,00"
"201521230012";"2015";"Emenda Individual - Transferências";"2123";"JOSE AGRIPINO";"0012";"RIO GRANDE DO NORTE (UF)";"12";"Educação";"368";"Educação básica";"590000,00";"0,00";"0,00";"0,00";"590000,00";"0,00"
"201521230014";"2015";"Emenda Individual - Transferências";"2123";"JOSE AGRIPINO";"0014";"RIO GRANDE DO NORTE (UF)";"10";"Saúde";"122";"Administração geral";"602115,00";"0,00";"0,00";"0,00";"0,00";"602115,00"
"201521230017";"2015";"Emenda Individual - Transferências";"2123";"JOSE AGRIPINO";"0017";"RIO GRANDE DO NORTE (UF)";"10";"Saúde";"302";"Assistência hospitalar e ambulatorial";"499999,92";"0,00";"0,00";"0,00";"0,00";"499999,92"
"201521230018";"2015";"Emenda Individual - Transferências";"2123";"JOSE AGRIPINO";"0018";"RIO GRANDE DO NORTE (UF)";"20";"Agricultura";"608";"Promoção da produção agropecuária";"250000,00";"0,00";"0,00";"0,00";"250000,00";"0,00"
"201521230019";"2015";"Emenda Individual - Transferências";"2123";"JOSE AGRIPINO";"0019";"RIO GRANDE DO NORTE (UF)";"10";"Saúde";"301";"Atenção básica";"2035548,92";"0,00";"0,00";"184560,00";"0,00";"1850988,92"
"201521230021";"2015";"Emenda Individual - Transferências";"2123";"JOSE AGRIPINO";"0021";"RIO GRANDE DO NORTE (UF)";"20";"Agricultura";"608";"Promoção da produção agropecuária";"250000,00";"0,00";"0,00";"2785,81";"3464,19";"243750,00"
"201524420007";"2015";"Emenda Individual - Transferências";"2442";"JOSE GUIMARAES";"0007";"CEARÁ (UF)";"23";"Comércio e serviços";"695";"Turismo";"2128016,00";"0,00";"0,00";"0,00";"892267,43";"1235748,57"
"201532620001";"2015";"Emenda Individual - Transferências";"3262";"JOSE ROCHA";"0001";"BAHIA (UF)";"15";"Urbanismo";"244";"Assistência comunitária";"1212387,00";"114631,99";"114631,99";"0,00";"0,01";"1097755,00"
"201521820011";"2015";"Emenda Individual - Transferências";"2182";"JOSE SARNEY";"0011";"LARANJAL DO JARI - AP";"05";"Defesa nacional";"244";"Assistência comunitária";"312387,00";"0,00";"0,00";"0,00";"312387,00";"0,00"
"201521820015";"2015";"Emenda Individual - Transferências";"2182";"JOSE SARNEY";"0015";"MAZAGÃO - AP";"10";"Saúde";"512";"Saneamento básico urbano";"1112388,00";"0,00";"0,00";"0,00";"1112388,00";"0,00"
"201520210001";"2015";"Emenda Individual - Transferências";"2021";"LUCIA VANIA";"0001";"GOIÁS (UF)";"15";"Urbanismo";"451";"infra-estrutura urbana";"1912386,00";"0,00";"0,00";"0,00";"0,00";"1912386,00"
"201510510001";"2015";"Emenda Individual - Transferências";"1051";"LUCIANO CASTRO";"0001";"RORAIMA (UF)";"05";"Defesa nacional";"244";"Assistência comunitária";"3912387,00";"0,00";"0,00";"0,00";"0,00";"3912387,00"
"201510510005";"2015";"Emenda Individual - Transferências";"1051";"LUCIANO CASTRO";"0005";"RORAIMA (UF)";"10";"Saúde";"302";"Assistência hospitalar e ambulatorial";"3912380,00";"0,00";"0,00";"0,00";"0,00";"3912380,00"
"201534590010";"2015";"Emenda Individual - Transferências";"3459";"LUIZ ALBERTO";"0010";"BAHIA (UF)";"10";"Saúde";"122";"Administração geral";"412388,00";"0,00";"0,00";"0,00";"0,00";"412388,00"
"201526740005";"2015";"Emenda Individual - Transferências";"2674";"LUIZ CARLOS";"0005";"AMAPÁ (UF)";"05";"Defesa nacional";"244";"Assistência comunitária";"3912387,00";"0,00";"0,00";"0,00";"2812387,00";"1100000,00"
"201524070019";"2015";"Emenda Individual - Transferências";"2407";"LUIZ CARLOS BUSATO";"0019";"RIO GRANDE DO SUL (UF)";"21";"Organização agrária";"127";"Ordenamento territorial";"112300,00";"112300,00";"112300,00";"0,00";"0,00";"0,00"
"201526810001";"2015";"Emenda Individual - Transferências";"2681";"LUIZ OTAVIO";"0001";"PARÁ (UF)";"20";"Agricultura";"608";"Promoção da produção agropecuária";"112386,99";"0,00";"0,00";"0,00";"2809,67";"109577,32"
"201528280001";"2015";"Emenda Individual - Transferências";"2828";"LUIZ PITIMAN";"0001";"DISTRITO FEDERAL (UF)";"14";"Direitos da cidadania";"422";"Direitos individuais, coletivos e difusos";"2312387,00";"0,00";"0,00";"1412387,00";"0,00";"2312387,00"
"201525970012";"2015";"Emenda Individual - Transferências";"2597";"MAJOR FABIO";"0012";"QUEIMADAS - PB";"15";"Urbanismo";"451";"infra-estrutura urbana";"412387,00";"0,00";"0,00";"0,00";"0,00";"412387,00"
