Atualizado em: 2025-06-15
Código OACI;CIAD;Nome;Município;UF;Município Servido;UF Servido;LATGEOPOINT;LONGEOPOINT;Latitude;Longitude;Altitude;Operação Diurna;Operação Noturna;Designação 1;Comprimento 1;Largura 1;Resistência 1;Superfície 1;Designação 2;Comprimento 2;Largura 2;Resistência 2;Superfície 2;Situação;Validade do Registro;Portaria de Registro;Link Portaria
SDZG;CE0008;Pedro Teixeira Castelo Regional Tauá;TAUÁ;Ceará;Tauá;Ceará;-5.9333333;-40.2975;05°56'00"S;040°17'51"W;444,0;VFR;VFR;09/27;1200,0000;30,00;7/F/C/Y/U;Asfalto;;;;;;Cadastrado;07/05/2030;PA2020-1189;https://pergamum.anac.gov.br/arquivos/PA2020-1189.pdf
SDIG;SP0038;Ibitinga;IBITINGA;São Paulo;Ibitinga;São Paulo;-21.747222;-48.855833;21°44'50"S;048°51'21"W;542,0;VFR;Sem Operação;13/31;1200,0000;18,00;5600 Kg /   0.50 MPa;Asfalto;;;;;;Cadastrado;23/04/2030;PA2020-1074;https://pergamum.anac.gov.br/arquivos/PA2020-1074.pdf
SBVT;ES0001;Eurico de Aguiar Salles;VITÓRIA;Espírito Santo;Vitória;Espírito Santo;-20.258056;-40.286389;20°15'29"S;040°17'11"W;3,0;VFR / IFR - CAT I;VFR / IFR - CAT I;02/20;2058,0000;45,00;86/F/B/X/T;Asfalto;06/24;1750,0000;45,00;45/F/B/X/T;Asfalto;Cadastrado;;;
SNJK;BA0047;Jequié;JEQUIÉ;Bahia;Jequié;Bahia;-13.877778;-40.071389;13°52'40"S;040°04'17"W;197,0;;;14/32;1200,0000;23,00;8/F/C/Y/U;Asfalto;;;;;;Cadastrado;18/11/2024;PA2014-2695;https://pergamum.anac.gov.br/arquivos/PA2014-2695.pdf
SSKU;SC0016;Lauro Antônio da Costa;CURITIBANOS;Santa Catarina;Curitibanos;Santa Catarina;-27.287222;-50.603889;27°17'14"S;050°36'14"W;978,0;VFR;VFR;11/29;1400,0000;30,00;22/F/A/Y/T;Asfalto;;;;;;Cadastrado;20/05/2030;PA2020-1296;https://pergamum.anac.gov.br/arquivos/PA2020-1296.pdf
SSEP;RS0031;São Sepé;SÃO SEPÉ;Rio Grande do Sul;São Sepé;Rio Grande do Sul;-30.182222;-53.579444;30°10'56"S;053°34'46"W;153,0;;;14/32;1140,0000;18,00;5700 Kg /   0.62 MPa;Saibro;;;;;;Cadastrado;13/01/2031;PA2021-3955;https://pergamum.anac.gov.br/arquivos/PA2021-3955.pdf
SJRG;RS0013;Regional de Rio Grande;RIO GRANDE;Rio Grande do Sul;Rio Grande;Rio Grande do Sul;-32.083611;-52.167778;32°05'01"S;052°10'04"W;6,0;VFR;VFR;06/24;1900,0000;30,00;11/F/B/Y/T;Asfalto;;;;;;Cadastrado;21/07/2030;PA2022-10.073;https://pergamum.anac.gov.br/arquivos/PA2022-10.073.pdf
SSXX;SC0017;Municipal João Winckler;XANXERÊ;Santa Catarina;Xanxerê;Santa Catarina;-26.875;-52.372778;26°52'30"S;052°22'22"W;910,0;VFR;VFR;18/36;1149,0000;18,00;8/F/A/Y/T;Asfalto;;;;;;Cadastrado;05/04/2033;PA2023-10896;https://pergamum.anac.gov.br/arquivos/PA2023-10896.pdf
SBDO;MS0008;Dourados;DOURADOS;Mato Grosso do Sul;Dourados;Mato Grosso do Sul;-22.200556;-54.925556;22°12'02"S;054°55'32"W;458,0;VFR / IFR Não Precisão;VFR / IFR Não Precisão;06/24;1950,0000;30,00;41/F/B/X/T;Asfalto;;;;;;Cadastrado;;;
SNGD;PI0005;Guadalupe;GUADALUPE;Piauí;Guadalupe;Piauí;-6.7830556;-43.580833;06°46'59"S;043°34'51"W;180,0;VFR;Sem Operação;15/33;1485,0000;30,00;9/F/C/X/U;Asfalto;;;;;;Cadastrado;28/10/2030;PA2020-2978;https://pergamum.anac.gov.br/arquivos/PA2020-2978.pdf
