HourOfDay,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.370000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222.36,0.0,0.0
4,0.0,152.43,0.0,138.35999999999999,0.0,0.0,0.0,302.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.33,293.91,0.0,28.08,81.16,0.0,0.0,152.59,17.79,148.88,0.0,0.0
5,0.0,250.64,0.0,50.19,0.0,0.0,0.0,36.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2208.67,381.05,206.6,110.33,447.7,0.0,103.58,0.0,19.41,329.90999999999997,0.0,0.0
6,0.0,354.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.81,0.0,0.0,0.0,0.0,47.480000000000004,0.0,0.0,0.0,0.0,121.7,523.47,1294.85,239.35,270.75,0.0,283.06,20.08,83.16,185.52,0.0,0.0
7,33.03,1308.8899999999999,132.55,541.38,4259.36,27.6,380.12,2206.83,165.8,185.27,116.66,64.68,146.98,185.7,273.65,315.55,195.51,211.93,163.34,365.15,1396.44,435.04,232.56,449.14,208.85,433.46999999999997,1407.29,129.82,333.12,1502.93,281.63
8,1403.78,549.9,2707.37,26896.73,532.66,1665.25,8972.880000000001,4376.38,7578.030000000001,537.41,1719.62,13251.21,453.42,2227.59,1079.1,3140.88,898.41,1827.68,974.9399999999999,2862.64,2070.21,1241.75,991.46,727.98,596.5,2124.95,786.9,1654.81,931.27,3023.29,2313.72
9,1160.75,572.56,1815.95,3042.77,5283.52,712.93,6503.879999999999,4776.0,2033.8,1910.66,6864.64,1764.0700000000002,1086.22,108827.81,2353.37,6605.93,2109.87,2351.05,1398.06,5991.49,3061.79,2233.56,5886.43,813.35,1128.26,7442.14,1330.98,1968.77,2366.31,1692.9,863.09
10,1227.89,646.82,2019.5,2728.09,3198.42,1968.52,2642.92,2938.87,2731.23,102189.41,1101.25,630.61,19177.28,3795.2999999999997,2356.63,40345.490000000005,6011.71,1247.22,934.48,2895.88,5215.93,2986.31,6891.06,473.15,2933.89,2223.43,3134.73,18231.61,1104.79,1562.69,1205.28
11,1204.46,3149.12,2836.14,2049.11,978.51,3009.95,1320.08,1656.44,2715.0099999999998,386.7,500.49,1529.43,8544.980000000001,4403.21,1867.63,16019.49,1356.57,2399.63,762.78,782.5,1601.45,32696.32,6038.67,1612.5,3794.6400000000003,1502.76,3535.84,1399.07,2399.4,2186.54,1886.97
12,6898.88,2776.64,651.01,1526.09,640.27,3125.23,1935.61,507667.39,2711.7799999999997,390.8,486.61,650.12,15726.38,12019.6,1467.1000000000001,540.14,812.11,1783.23,972.9,842.02,1136.77,702.47,1009.0,797.05,730.45,1875.5600000000002,1083.12,2167.68,379.43,3373.77,719.11
13,686.99,558.9,1769.94,452.29,6706.919999999999,1201.23,642.41,2262.4900000000002,563.57,313.99,413.39,5547.0,2550.96,1973.54,66.59,455.84,469.96,1624.6499999999999,777.3100000000001,2853.6000000000004,1673.73,1217.96,4920.22,481.21,872.26,260.7,671.87,1311.03,28.47,3548.14,415.94
14,0.0,900.67,827.07,481.88,454.06,646.42,5822.56,0.0,695.17,2597.5299999999997,1383.6899999999998,12461.08,615.41,1523.07,0.0,1647.57,1698.97,563.49,404.37,645.24,2468.68,0.0,1137.75,573.94,1112.6200000000001,31.840000000000003,1207.68,953.2,0.0,2344.07,671.7
15,0.0,526.42,595.66,621.9,4493.35,547.91,936.76,0.0,1878.18,3157.5499999999997,447.42,2197.06,5500.150000000001,4478.71,0.0,2486.28,674.25,624.63,1554.3999999999999,1974.82,2457.76,0.0,1864.22,491.36,1637.34,0.0,1742.65,6069.6,0.0,2215.41,659.3100000000001
16,0.0,5865.87,473.71,917.0,859.69,2069.42,1965.87,0.0,843.48,1607.8,614.41,1746.47,4361.34,2729.53,0.0,1851.9199999999998,798.8199999999999,1050.83,1768.78,1452.95,1174.96,0.0,2556.35,1181.49,1489.23,0.0,2568.81,1263.27,0.0,6025.89,1069.52
17,0.0,5153.15,2809.68,2107.17,3918.0,112526.97,2783.34,0.0,3359.33,12155.73,1576.44,2025.6299999999999,104875.66,3833.58,0.0,7937.67,1523.94,2016.29,1380.6100000000001,1355.51,2323.98,0.0,3879.15,2205.43,6848.8099999999995,0.0,1317.75,1253.06,0.0,2105.22,1370.73
18,0.0,1780.65,2455.07,683.26,879.11,3111.6800000000003,1549.94,0.0,1014.4399999999999,1245.45,1553.79,6090.679999999999,1991.25,4286.9,0.0,8661.92,2297.96,6132.36,2992.8,1671.6299999999999,3166.02,0.0,13051.38,1348.45,2161.49,0.0,1423.08,1208.36,0.0,3663.78,2230.78
19,0.0,100977.43999999999,3821.77,602.68,941.01,1036.16,1696.27,0.0,1916.81,5622.78,1993.01,1166.79,1296.49,2758.34,0.0,1033.78,1712.8799999999999,752.47,495.75,2792.43,755.29,0.0,102043.20999999999,876.44,1622.0,0.0,1730.09,894.66,0.0,8969.7,968.71
20,0.0,204.13,111.81,167.22,58.959999999999994,1239.3,106.12,0.0,129.95999999999998,171.24,108.3,54.29,327.74,55.82,0.0,267.91,1415.85,128.88,268.5,263.38,35.42,0.0,187.73000000000002,300.41,113.29,0.0,215.36,357.11,0.0,313.64,129.59
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
