HourOfDay,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
4,0.0,27.0,0.0,31.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,47.0,0.0,13.0,14.0,0.0,0.0,25.0,9.0,27.0,0.0,0.0
5,0.0,49.0,0.0,8.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,58.0,58.0,36.0,41.0,0.0,34.0,0.0,4.0,71.0,0.0,0.0
6,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,44.0,46.0,47.0,46.0,43.0,0.0,65.0,8.0,7.0,45.0,0.0,0.0
7,17.0,88.0,28.0,73.0,65.0,21.0,44.0,49.0,54.0,65.0,49.0,50.0,37.0,75.0,71.0,84.0,92.0,69.0,95.0,121.0,99.0,94.0,93.0,157.0,57.0,105.0,57.0,39.0,113.0,154.0,77.0
8,209.0,177.0,163.0,157.0,115.0,158.0,173.0,190.0,140.0,160.0,177.0,148.0,143.0,268.0,203.0,274.0,252.0,231.0,231.0,265.0,236.0,197.0,261.0,248.0,175.0,226.0,230.0,204.0,221.0,356.0,249.0
9,215.0,157.0,194.0,187.0,208.0,173.0,221.0,301.0,208.0,188.0,239.0,183.0,203.0,294.0,291.0,272.0,260.0,297.0,275.0,267.0,243.0,273.0,255.0,243.0,224.0,248.0,333.0,291.0,209.0,369.0,286.0
10,284.0,198.0,246.0,190.0,193.0,223.0,272.0,298.0,191.0,185.0,251.0,169.0,231.0,326.0,252.0,268.0,295.0,315.0,260.0,235.0,255.0,256.0,230.0,202.0,261.0,253.0,324.0,329.0,255.0,355.0,327.0
11,264.0,185.0,205.0,210.0,235.0,257.0,235.0,311.0,178.0,128.0,168.0,257.0,281.0,349.0,254.0,313.0,310.0,273.0,243.0,204.0,325.0,262.0,269.0,207.0,212.0,316.0,363.0,298.0,257.0,360.0,263.0
12,219.0,190.0,190.0,180.0,185.0,162.0,213.0,265.0,157.0,114.0,106.0,122.0,228.0,243.0,202.0,206.0,253.0,173.0,210.0,197.0,292.0,186.0,268.0,208.0,226.0,278.0,270.0,282.0,151.0,305.0,196.0
13,99.0,156.0,188.0,153.0,164.0,131.0,145.0,44.0,138.0,94.0,75.0,120.0,121.0,184.0,24.0,137.0,139.0,122.0,174.0,177.0,187.0,48.0,229.0,146.0,212.0,52.0,165.0,245.0,18.0,296.0,157.0
14,0.0,95.0,153.0,129.0,111.0,150.0,176.0,0.0,143.0,148.0,74.0,132.0,129.0,188.0,0.0,193.0,150.0,190.0,134.0,155.0,227.0,0.0,228.0,169.0,217.0,12.0,230.0,238.0,0.0,246.0,184.0
15,0.0,124.0,142.0,134.0,122.0,110.0,160.0,0.0,134.0,169.0,110.0,92.0,207.0,190.0,0.0,168.0,180.0,186.0,205.0,167.0,262.0,0.0,251.0,170.0,232.0,0.0,198.0,267.0,0.0,343.0,213.0
16,0.0,180.0,171.0,217.0,213.0,209.0,169.0,0.0,201.0,203.0,178.0,155.0,282.0,238.0,0.0,264.0,226.0,271.0,239.0,263.0,313.0,0.0,304.0,317.0,288.0,0.0,361.0,293.0,0.0,399.0,311.0
17,0.0,186.0,207.0,217.0,209.0,225.0,299.0,0.0,274.0,261.0,239.0,285.0,370.0,373.0,0.0,394.0,374.0,361.0,296.0,343.0,390.0,0.0,360.0,341.0,397.0,0.0,352.0,335.0,0.0,570.0,332.0
18,0.0,289.0,223.0,213.0,220.0,276.0,287.0,0.0,283.0,255.0,245.0,234.0,354.0,364.0,0.0,417.0,333.0,336.0,299.0,272.0,364.0,0.0,336.0,314.0,322.0,0.0,356.0,346.0,0.0,475.0,324.0
19,0.0,244.0,154.0,160.0,204.0,189.0,227.0,0.0,193.0,181.0,179.0,186.0,280.0,308.0,0.0,283.0,238.0,224.0,183.0,252.0,167.0,0.0,251.0,217.0,215.0,0.0,290.0,231.0,0.0,344.0,272.0
20,0.0,70.0,19.0,39.0,25.0,54.0,36.0,0.0,30.0,56.0,43.0,32.0,75.0,28.0,0.0,42.0,75.0,30.0,62.0,56.0,34.0,0.0,49.0,95.0,54.0,0.0,61.0,69.0,0.0,95.0,44.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
