HourOfDay,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.489999999999995,0.0,0.0
4,0.0,190.85,0.0,311.19,0.0,0.0,0.0,505.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.58,417.59,0.0,52.76,82.16,0.0,0.0,233.59,80.45,190.64,0.0,0.0
5,0.0,449.8,0.0,67.32,0.0,0.0,0.0,102.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.11,390.63,418.61,313.82,440.07,0.0,249.61,0.0,31.639999999999997,482.28000000000003,0.0,0.0
6,0.0,515.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164.63,0.0,0.0,0.0,0.0,95.52,0.0,0.0,0.0,0.0,383.47999999999996,432.22,528.23,487.81,387.71,0.0,429.77,77.71000000000001,46.08,312.67,0.0,0.0
7,53.06,646.35,196.91,373.81,434.37,94.89,223.9,288.38,283.04,945.26,238.95,466.97,224.13,476.39,612.24,577.73,592.69,334.98,519.25,1329.16,846.37,886.38,576.73,1006.51,521.97,537.9399999999999,333.95,302.22,842.02,944.47,507.46
8,2181.56,1798.09,1383.96,1994.23,1026.23,1240.58,1967.82,2107.71,1379.7,1153.38,1177.59,1169.04,1057.53,3217.64,1975.9,1730.86,1661.45,1784.56,1865.92,2795.67,2085.2599999999998,1385.31,2320.69,1752.82,1372.1,1849.55,2625.86,1884.61,1972.58,2690.96,1814.66
9,1891.11,2003.05,2944.9900000000002,2352.34,1724.34,2054.17,3874.5299999999997,2790.99,2050.91,2135.86,2470.66,1383.82,2013.8600000000001,3850.61,2521.33,2441.83,3453.7200000000003,2747.1,2858.96,2145.86,2831.83,2462.66,2244.94,2263.71,2169.43,1958.28,3834.28,2565.08,1796.21,3452.17,3080.71
10,2896.34,2563.05,3210.21,3831.82,2754.91,3283.39,4118.41,4320.13,1857.55,3046.12,2474.27,2003.33,2469.88,4269.67,2572.34,3117.79,2668.5,2837.13,2363.32,1737.45,2684.13,2779.85,2781.0,1676.99,2384.52,2595.83,2929.98,4048.09,2177.7,4690.63,2827.42
11,4257.0,2720.67,2252.23,2261.23,2691.86,3235.97,4109.37,3204.77,1793.78,1710.83,2280.9700000000003,3337.65,3298.05,3898.64,2133.53,2246.08,3285.29,2581.23,2294.15,1953.74,3842.24,2261.87,2363.88,1614.3,2304.28,3462.87,3869.65,3950.4500000000003,2661.02,4352.7,2407.08
12,4029.61,1962.4,2528.38,2329.23,2597.82,1456.99,3255.34,2492.07,1517.35,1007.25,1599.0,995.98,3555.15,2944.11,2435.88,1372.11,2278.7200000000003,1477.96,2023.95,2354.6,3344.94,2553.11,2351.06,2472.4,1951.71,2542.84,2820.02,2654.45,1317.88,2833.91,1249.6
13,1059.1299999999999,2467.81,2956.37,2536.59,2141.87,2065.2999999999997,2257.96,905.9300000000001,2426.91,792.83,2093.29,760.79,929.32,2371.03,263.69,945.25,956.85,930.0,1901.8200000000002,1505.98,2058.2200000000003,597.35,1682.79,1430.18,2264.58,479.36,1619.5,2795.43,128.29,2971.7,1630.69
14,0.0,2173.7,2193.35,2385.08,1214.27,2048.67,3080.5,0.0,1947.8,1655.92,912.4300000000001,1233.8,1495.44,2786.98,0.0,1445.07,1984.6299999999999,2496.0099999999998,1807.91,1454.58,2557.01,0.0,2337.43,1520.14,2191.41,79.53,2041.46,3256.31,0.0,3218.78,1699.38
15,0.0,2195.59,3301.1600000000003,1899.73,1354.18,1686.56,3134.39,0.0,2309.77,1282.58,970.54,945.09,2251.51,2348.2,0.0,1139.02,1640.17,1361.56,1212.11,1825.1,3500.36,0.0,2001.74,1958.49,2273.75,0.0,2050.19,3426.17,0.0,4433.27,2613.7
16,0.0,3118.36,2600.8,2275.85,3580.82,2619.92,2839.54,0.0,3257.75,2077.41,1300.58,1284.22,2693.39,3704.37,0.0,2428.45,1890.17,2379.98,2331.77,2970.27,4138.51,0.0,2981.02,2030.34,2830.2599999999998,0.0,2709.13,3302.17,0.0,3562.32,2324.12
17,0.0,2459.07,2763.97,1675.96,2594.4900000000002,4838.2699999999995,3972.4900000000002,0.0,3323.09,2601.59,1854.84,2630.96,3709.59,4282.69,0.0,4615.22,3141.34,3289.92,2897.09,3376.73,4143.74,0.0,3963.15,2978.02,3759.33,0.0,4129.06,3785.28,0.0,5081.22,2856.82
18,0.0,4172.25,2921.46,3550.66,3264.83,3816.92,4512.41,0.0,3460.2200000000003,3237.14,3297.58,2502.83,5226.91,4866.13,0.0,3833.56,3934.57,2792.76,2387.05,3633.42,4777.64,0.0,3765.7599999999998,3419.62,4519.06,0.0,3889.1,4036.02,0.0,4759.61,4292.27
19,0.0,5116.07,2525.41,2398.15,2323.15,3427.52,3947.58,0.0,2560.71,1857.07,3172.7799999999997,1686.14,3591.09,3925.46,0.0,3166.45,2471.63,2777.54,1293.27,3192.82,1870.95,0.0,2826.59,2152.62,3128.04,0.0,3518.71,2483.66,0.0,4105.58,3560.86
20,0.0,1375.72,683.9399999999999,507.62,458.49,801.47,531.04,0.0,379.18,762.79,775.37,371.03000000000003,855.27,456.96999999999997,0.0,340.99,590.35,435.84000000000003,764.91,513.47,509.66999999999996,0.0,363.12,1053.73,677.5,0.0,741.1,884.17,0.0,920.37,1030.76
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
